wqms_id,dates,obs,unit,variable,streamflow,obs(ng/L)
wqms_03100149,11/26/2013,0.0032,ug/l,PFOA,,2.9
wqms_03100150,9/18/2013,0.0024,ug/l,PFOA,,2.9
wqms_03100150,11/26/2013,0.0038,ug/l,PFOA,,2.1
wqms_03100151,9/21/2007,0.011776092,ug/l,PFOA,,3.2
wqms_03100151,9/19/2013,0.00335,ug/l,PFOA,,2.4
wqms_03100151,11/27/2013,0.0057,ug/l,PFOA,,3.8
wqms_03100152,7/5/2019,0.000566439,ug/l,PFOA,,11.77609178
wqms_03100153,7/4/2019,0.001250814,ug/l,PFOA,,3.35
wqms_03100154,7/3/2019,0.000883925,ug/l,PFOA,,5.7
wqms_03100155,7/3/2019,0.000665096,ug/l,PFOA,,0.566439333
wqms_03100156,7/1/2019,0.000637545,ug/l,PFOA,,1.2508135
wqms_03100157,7/2/2019,0.001284792,ug/l,PFOA,,0.883924667
wqms_03100158,7/1/2019,0.001011531,ug/l,PFOA,,0.665096
wqms_03100159,9/13/2007,0.001764647,ug/l,PFOA,,0.637545333
wqms_03100160,9/15/2007,0.013492716,ug/l,PFOA,,1.284792
wqms_03100161,9/15/2007,0.013269634,ug/l,PFOA,,1.011531
wqms_03100162,9/15/2007,0.002295486,ug/l,PFOA,,1.764647308
wqms_03100163,9/16/2007,0.01270417,ug/l,PFOA,,13.49271622
wqms_03100164,9/16/2007,0.013336674,ug/l,PFOA,,13.26963434
wqms_03100165,9/16/2007,0.001470756,ug/l,PFOA,,2.295486277
wqms_03100166,9/16/2007,0.012389616,ug/l,PFOA,,12.7041697
wqms_03100167,9/18/2007,0.002198742,ug/l,PFOA,,13.33667416
wqms_03100168,9/18/2007,0.01200571,ug/l,PFOA,,1.470756252
wqms_03100169,9/18/2007,0.012628816,ug/l,PFOA,,12.38961551
wqms_03100170,9/20/2007,0.001643811,ug/l,PFOA,,2.198741995
wqms_03100171,9/20/2007,0.012889644,ug/l,PFOA,,12.00570997
wqms_03100172,9/21/2007,0.012333573,ug/l,PFOA,,12.62881563
wqms_03100173,9/21/2007,0.004138232,ug/l,PFOA,,1.643810918
wqms_03100174,9/15/2007,5.00E-07,ug/l,PFOA,,12.8896436
wqms_03100175,9/15/2007,5.00E-07,ug/l,PFOA,,12.33357251
wqms_03100176,9/18/2007,5.00E-07,ug/l,PFOA,,4.138231958
wqms_03100177,9/18/2007,0.001473007,ug/l,PFOA,,0.0005
wqms_03100178,9/20/2007,0.001173027,ug/l,PFOA,,0.0005
wqms_03100179,9/20/2007,0.001006442,ug/l,PFOA,,0.0005
wqms_06200004,8/2/2022,0.0024,ug/l,PFOA,,1.473006714
wqms_06200004,9/27/2022,0.00095,ug/l,PFOA,,1.173026714
wqms_06200004,10/18/2022,0.00097,ug/l,PFOA,,1.006441551
wqms_06200004,11/8/2022,0.00079,ug/l,PFOA,,2.4
wqms_06200004,12/6/2022,0.0008,ug/l,PFOA,,0.95
wqms_06200011,2/7/2023,0.00016,ug/l,PFOA,,0.97
wqms_06200011,10/11/2023,0.0002,ug/l,PFOA,,0.79
wqms_06200011,11/8/2023,0.00018,ug/l,PFOA,,0.8
wqms_06200012,1/24/2023,0.00013,ug/l,PFOA,,0.16
wqms_06200012,4/18/2023,0.00013,ug/l,PFOA,,0.2
wqms_06200012,9/5/2023,0.00019,ug/l,PFOA,,0.18
wqms_06200016,10/9/2023,0.00017,ug/l,PFOA,,0.13
wqms_06200018,1/20/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200018,2/18/2021,0.00013,ug/l,PFOA,,0.19
wqms_06200018,3/24/2021,0.00013,ug/l,PFOA,,0.17
wqms_06200018,5/6/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200018,6/16/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200018,7/15/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200018,8/12/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200018,9/16/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200018,10/21/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200018,11/10/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200018,12/2/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200019,8/10/2022,0.00077,ug/l,PFOA,,0.13
wqms_06200019,8/30/2022,0.00046,ug/l,PFOA,,0.13
wqms_06200019,9/14/2022,0.00042,ug/l,PFOA,,0.13
wqms_06200019,10/5/2022,0.00073,ug/l,PFOA,,0.77
wqms_06200020,1/31/2023,0.00019,ug/l,PFOA,,0.46
wqms_06200020,2/21/2023,0.00027,ug/l,PFOA,,0.42
wqms_06200020,5/30/2023,0.00029,ug/l,PFOA,,0.73
wqms_06200020,11/28/2023,0.00034,ug/l,PFOA,,0.19
wqms_06200024,8/10/2022,0.00028,ug/l,PFOA,,0.27
wqms_06200024,8/23/2022,0.00025,ug/l,PFOA,,0.29
wqms_06200034,2/8/2023,0.00024,ug/l,PFOA,,0.34
wqms_06200034,4/11/2023,0.0003,ug/l,PFOA,,0.28
wqms_06200034,5/3/2023,0.00031,ug/l,PFOA,,0.25
wqms_06200034,7/18/2023,0.00032,ug/l,PFOA,,0.24
wqms_06200034,8/14/2023,0.00032,ug/l,PFOA,,0.3
wqms_06200034,9/20/2023,0.00056,ug/l,PFOA,,0.31
wqms_06200034,10/11/2023,0.00048,ug/l,PFOA,,0.32
wqms_06200034,11/13/2023,0.00053,ug/l,PFOA,,0.32
wqms_06200034,12/5/2023,0.00025,ug/l,PFOA,,0.56
wqms_06200035,8/2/2022,0.0006,ug/l,PFOA,,0.48
wqms_06200035,9/27/2022,0.00021,ug/l,PFOA,,0.53
wqms_06200035,10/18/2022,0.0002,ug/l,PFOA,,0.25
wqms_06200036,8/2/2022,0.00039,ug/l,PFOA,,0.6
wqms_06200036,9/27/2022,0.00035,ug/l,PFOA,,0.21
wqms_06200036,10/18/2022,0.00036,ug/l,PFOA,,0.2
wqms_06200036,11/8/2022,0.00042,ug/l,PFOA,,0.39
wqms_06200036,11/22/2022,0.00015,ug/l,PFOA,,0.35
wqms_06200037,8/9/2022,0.00205,ug/l,PFOA,,0.36
wqms_06200037,9/27/2022,0.00145,ug/l,PFOA,,0.42
wqms_06200037,10/18/2022,0.00111,ug/l,PFOA,,0.15
wqms_06200037,11/8/2022,0.00049,ug/l,PFOA,,2.05
wqms_06200037,11/22/2022,0.0005,ug/l,PFOA,,1.45
wqms_06200037,12/6/2022,0.00071,ug/l,PFOA,,1.11
wqms_06200037,2/7/2023,0.00076,ug/l,PFOA,,0.49
wqms_06200037,3/21/2023,0.00071,ug/l,PFOA,,0.5
wqms_06200037,5/2/2023,0.00093,ug/l,PFOA,,0.71
wqms_06200037,6/20/2023,0.0016,ug/l,PFOA,,0.76
wqms_06200037,7/18/2023,0.00136,ug/l,PFOA,,0.71
wqms_06200037,9/26/2023,0.0009,ug/l,PFOA,,0.93
wqms_06200037,11/7/2023,0.00059,ug/l,PFOA,,1.6
wqms_06200037,12/5/2023,0.00064,ug/l,PFOA,,1.36
wqms_06200038,8/2/2022,0.00107,ug/l,PFOA,,0.9
wqms_06200038,9/27/2022,0.00069,ug/l,PFOA,,0.59
wqms_06200038,10/18/2022,0.00037,ug/l,PFOA,,0.64
wqms_06200061,4/5/2023,0.00019,ug/l,PFOA,,1.07
wqms_06200061,5/10/2023,0.00013,ug/l,PFOA,,0.69
wqms_06200061,10/11/2023,0.00024,ug/l,PFOA,,0.37
wqms_06200062,2/7/2023,0.00025,ug/l,PFOA,,0.19
wqms_06200062,3/8/2023,0.0002,ug/l,PFOA,,0.13
wqms_06200062,4/5/2023,0.00025,ug/l,PFOA,,0.24
wqms_06200062,5/10/2023,0.00022,ug/l,PFOA,,0.25
wqms_06200062,6/7/2023,0.00015,ug/l,PFOA,,0.2
wqms_06200062,8/9/2023,0.00018,ug/l,PFOA,,0.25
wqms_06200062,9/13/2023,0.00028,ug/l,PFOA,,0.22
wqms_06200062,10/11/2023,0.00052,ug/l,PFOA,,0.15
wqms_06200062,11/8/2023,0.00015,ug/l,PFOA,,0.18
wqms_06200062,12/6/2023,0.00026,ug/l,PFOA,,0.28
wqms_06200064,2/7/2023,0.00013,ug/l,PFOA,,0.52
wqms_06200064,9/13/2023,0.00016,ug/l,PFOA,,0.15
wqms_06200064,10/11/2023,0.00034,ug/l,PFOA,,0.26
wqms_06200065,6/7/2023,0.00016,ug/l,PFOA,,0.13
wqms_06200073,12/13/2023,0.00013,ug/l,PFOA,,0.16
wqms_06200075,1/25/2023,0.00021,ug/l,PFOA,,0.34
wqms_06200075,10/9/2023,0.00021,ug/l,PFOA,,0.16
wqms_06200077,12/2/2021,0.00019,ug/l,PFOA,,0.13
wqms_06200078,2/18/2021,0.00035,ug/l,PFOA,,0.21
wqms_06200078,6/16/2021,0.00027,ug/l,PFOA,,0.21
wqms_06200078,8/12/2021,0.00019,ug/l,PFOA,,0.19
wqms_06200078,9/2/2021,0.00013,ug/l,PFOA,,0.35
wqms_06200079,7/1/2021,0.0002,ug/l,PFOA,,0.27
wqms_06200080,1/20/2021,0.00013,ug/l,PFOA,,0.19
wqms_06200080,2/17/2021,0.00017,ug/l,PFOA,,0.13
wqms_06200080,3/23/2021,0.00014,ug/l,PFOA,,0.2
wqms_06200080,5/11/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200080,8/10/2021,0.00025,ug/l,PFOA,,0.17
wqms_06200080,10/4/2021,0.00013,ug/l,PFOA,,0.14
wqms_06200081,2/18/2021,0.00041,ug/l,PFOA,,0.13
wqms_06200081,6/16/2021,0.00017,ug/l,PFOA,,0.25
wqms_06200081,8/12/2021,0.00013,ug/l,PFOA,,0.13
wqms_06200081,9/2/2021,0.00025,ug/l,PFOA,,0.41
wqms_06200081,10/13/2021,0.00015,ug/l,PFOA,,0.17
wqms_06200082,8/10/2022,0.00015,ug/l,PFOA,,0.13
wqms_06200082,10/5/2022,0.00017,ug/l,PFOA,,0.25
wqms_06200083,8/10/2022,0.00021,ug/l,PFOA,,0.15
wqms_06200083,9/7/2022,0.00014,ug/l,PFOA,,0.15
wqms_06200086,8/10/2022,0.00015,ug/l,PFOA,,0.17
wqms_06200086,10/5/2022,0.00025,ug/l,PFOA,,0.21
wqms_06200087,9/7/2022,0.00016,ug/l,PFOA,,0.14
wqms_06200087,11/9/2022,0.00017,ug/l,PFOA,,0.15
wqms_06200088,8/10/2022,0.00014,ug/l,PFOA,,0.25
wqms_06200088,10/5/2022,0.00016,ug/l,PFOA,,0.16
wqms_06200089,8/10/2022,0.0002,ug/l,PFOA,,0.17
wqms_06200089,10/5/2022,0.00071,ug/l,PFOA,,0.14
wqms_06200090,8/10/2022,0.00048,ug/l,PFOA,,0.16
wqms_06200090,8/30/2022,0.00025,ug/l,PFOA,,0.2
wqms_06200090,9/14/2022,0.00015,ug/l,PFOA,,0.71
wqms_06200091,8/10/2022,0.00035,ug/l,PFOA,,0.48
wqms_06200091,8/30/2022,0.0002,ug/l,PFOA,,0.25
wqms_06200093,2/21/2023,0.00029,ug/l,PFOA,,0.15
wqms_06200093,4/11/2023,0.00018,ug/l,PFOA,,0.35
wqms_06200093,9/19/2023,0.00022,ug/l,PFOA,,0.2
wqms_06200094,1/31/2023,0.00108,ug/l,PFOA,,0.29
wqms_06200094,2/21/2023,0.00107,ug/l,PFOA,,0.18
wqms_06200094,3/28/2023,0.0007,ug/l,PFOA,,0.22
wqms_06200094,4/11/2023,0.00148,ug/l,PFOA,,1.08
wqms_06200094,5/30/2023,0.00184,ug/l,PFOA,,1.07
wqms_06200094,6/26/2023,0.00053,ug/l,PFOA,,0.7
wqms_06200094,7/25/2023,0.00112,ug/l,PFOA,,1.48
wqms_06200094,8/29/2023,0.00241,ug/l,PFOA,,1.84
wqms_06200094,9/19/2023,0.00247,ug/l,PFOA,,0.53
wqms_06200094,10/24/2023,0.00142,ug/l,PFOA,,1.12
wqms_06200094,11/28/2023,0.00125,ug/l,PFOA,,2.41
wqms_06200094,12/5/2023,0.00104,ug/l,PFOA,,2.47
wqms_06200095,10/11/2023,0.00016,ug/l,PFOA,,1.42
wqms_06200096,2/21/2023,0.00014,ug/l,PFOA,,1.25
wqms_06200096,10/24/2023,0.00019,ug/l,PFOA,,1.04
wqms_06200097,1/26/2023,0.0057,ug/l,PFOA,,0.16
wqms_06200097,2/23/2023,0.00502,ug/l,PFOA,,0.14
wqms_06200097,3/28/2023,0.00504,ug/l,PFOA,,0.19
wqms_06200097,4/19/2023,0.00564,ug/l,PFOA,,5.7
wqms_06200097,5/31/2023,0.00493,ug/l,PFOA,,5.02
wqms_06200097,6/21/2023,0.0028,ug/l,PFOA,,5.04
wqms_06200097,7/19/2023,0.00193,ug/l,PFOA,,5.64
wqms_06200097,8/24/2023,0.00518,ug/l,PFOA,,4.93
wqms_06200097,9/14/2023,0.00522,ug/l,PFOA,,2.8
wqms_06200097,10/26/2023,0.00336,ug/l,PFOA,,1.93
wqms_06200097,11/16/2023,0.00218,ug/l,PFOA,,5.18
wqms_06200097,12/7/2023,0.00422,ug/l,PFOA,,5.22
wqms_06200098,1/26/2023,0.00422,ug/l,PFOA,,3.36
wqms_06200098,2/23/2023,0.00331,ug/l,PFOA,,2.18
wqms_06200098,3/28/2023,0.0033,ug/l,PFOA,,4.22
wqms_06200098,4/19/2023,0.00436,ug/l,PFOA,,4.22
wqms_06200098,5/31/2023,0.00445,ug/l,PFOA,,3.31
wqms_06200098,6/21/2023,0.00121,ug/l,PFOA,,3.3
wqms_06200098,7/19/2023,0.00179,ug/l,PFOA,,4.36
wqms_06200098,8/24/2023,0.00332,ug/l,PFOA,,4.45
wqms_06200098,9/14/2023,0.00438,ug/l,PFOA,,1.21
wqms_06200098,10/26/2023,0.00136,ug/l,PFOA,,1.79
wqms_06200098,11/16/2023,0.00182,ug/l,PFOA,,3.32
wqms_06200098,12/7/2023,0.00322,ug/l,PFOA,,4.38
wqms_06200099,4/19/2023,0.00044,ug/l,PFOA,,1.36
wqms_06200099,6/21/2023,0.0005,ug/l,PFOA,,1.82
wqms_06200099,9/13/2023,0.0004,ug/l,PFOA,,3.22
wqms_06200099,10/18/2023,0.00028,ug/l,PFOA,,0.44
wqms_06200099,11/15/2023,0.00014,ug/l,PFOA,,0.5
wqms_06200100,5/31/2023,0.00051,ug/l,PFOA,,0.4
wqms_06200100,6/21/2023,0.00029,ug/l,PFOA,,0.28
wqms_06200100,7/13/2023,0.00053,ug/l,PFOA,,0.14
wqms_06200100,9/14/2023,0.00038,ug/l,PFOA,,0.51
wqms_06200100,12/7/2023,0.00014,ug/l,PFOA,,0.29
wqms_06200101,3/8/2023,0.00013,ug/l,PFOA,,0.53
wqms_06200101,5/10/2023,0.00018,ug/l,PFOA,,0.38
wqms_06200101,7/12/2023,0.0005,ug/l,PFOA,,0.14
wqms_06200101,10/11/2023,0.0003,ug/l,PFOA,,0.13
wqms_06200102,6/21/2023,0.00022,ug/l,PFOA,,0.18
wqms_06200102,9/13/2023,0.00055,ug/l,PFOA,,0.5
wqms_06200102,10/18/2023,0.0007,ug/l,PFOA,,0.3
wqms_06200102,11/15/2023,0.00015,ug/l,PFOA,,0.22
wqms_06200103,7/12/2023,0.00027,ug/l,PFOA,,0.55
wqms_06200103,11/15/2023,0.00019,ug/l,PFOA,,0.7
wqms_06200104,1/16/2020,0.00021,ug/l,PFOA,,0.15
wqms_06200104,2/17/2020,6.50E-05,ug/l,PFOA,,0.27
wqms_06200104,3/2/2020,6.50E-05,ug/l,PFOA,,0.19
wqms_06200104,4/14/2020,6.50E-05,ug/l,PFOA,,0.21
wqms_06200104,5/25/2020,0.00018,ug/l,PFOA,,0.065
wqms_06200104,7/20/2020,6.50E-05,ug/l,PFOA,,0.065
wqms_06200104,9/22/2020,6.50E-05,ug/l,PFOA,,0.065
wqms_06200104,10/13/2020,6.50E-05,ug/l,PFOA,,0.18
wqms_06200104,11/11/2020,6.50E-05,ug/l,PFOA,,0.065
wqms_06200104,12/10/2020,6.50E-05,ug/l,PFOA,,0.065
wqms_06200105,1/16/2020,6.50E-05,ug/l,PFOA,16.60153389,0.065
wqms_06200105,2/26/2020,6.50E-05,ug/l,PFOA,35.49670029,0.065
wqms_06200105,3/2/2020,6.50E-05,ug/l,PFOA,31.83781052,0.065
wqms_06200105,4/14/2020,6.50E-05,ug/l,PFOA,6.22557497,0.065
wqms_06200105,5/25/2020,6.50E-05,ug/l,PFOA,1.965971112,0.065
wqms_06200105,6/22/2020,0.00155,ug/l,PFOA,1.692919612,0.065
wqms_06200105,7/20/2020,6.50E-05,ug/l,PFOA,1.310647368,0.065
wqms_06200105,9/22/2020,6.50E-05,ug/l,PFOA,3.22200799,0.065
wqms_06200105,10/19/2020,6.50E-05,ug/l,PFOA,6.170965195,1.55
wqms_06200105,11/11/2020,6.50E-05,ug/l,PFOA,15.50932693,0.065
